date,account_id,institution,currency,native_balance,usd_balance,threshold_usd_value,balance_source,evidence_class,confidence,source_refs,notes,review_flags
2025-01-21,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9876543,2617.26,2617.259554,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l9,No same-day balance found; carried forward most recent observed account balance.,
2025-01-22,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9876543,2617.26,2617.259554,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l9,No same-day balance found; carried forward most recent observed account balance.,
2025-01-23,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9876543,2617.26,2617.259554,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l9,No same-day balance found; carried forward most recent observed account balance.,
2025-01-24,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9876543,2617.26,2617.259554,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l9,No same-day balance found; carried forward most recent observed account balance.,
2025-01-25,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9876543,2617.26,2617.259554,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l9,No same-day balance found; carried forward most recent observed account balance.,
2025-01-26,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9876543,2617.26,2617.259554,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l9,No same-day balance found; carried forward most recent observed account balance.,
2025-01-27,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9876543,2617.26,2617.259554,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l9,No same-day balance found; carried forward most recent observed account balance.,
2025-01-28,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9876543,2617.26,2617.259554,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l9,No same-day balance found; carried forward most recent observed account balance.,
2025-01-29,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9876543,2617.26,2617.259554,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l9,No same-day balance found; carried forward most recent observed account balance.,
2025-01-30,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9876543,2617.26,2617.259554,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l9,No same-day balance found; carried forward most recent observed account balance.,
2025-01-31,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9850000,2610.23,2610.225725,observed,transaction,high,fictional-orbit-q1.pdf:p1:l10,"Selected last monetary value on line: $9,850,000; ISO/date-first numeric date; Recognized source-bound COP Fecha Descripción Movimiento Tarjeta Débito Abono Saldo table; selected the final currency-marked Saldo value.; Whole-COP comma grouping accepted only in the confirmed, source-bound COP Saldo table context.",
2025-02-01,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9850000,2610.23,2610.225725,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l10,No same-day balance found; carried forward most recent observed account balance.,
2025-02-02,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9850000,2610.23,2610.225725,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l10,No same-day balance found; carried forward most recent observed account balance.,
2025-02-03,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9850000,2610.23,2610.225725,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l10,No same-day balance found; carried forward most recent observed account balance.,
2025-02-04,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9850000,2610.23,2610.225725,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l10,No same-day balance found; carried forward most recent observed account balance.,
2025-02-05,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9850000,2610.23,2610.225725,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l10,No same-day balance found; carried forward most recent observed account balance.,
2025-02-06,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9850000,2610.23,2610.225725,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l10,No same-day balance found; carried forward most recent observed account balance.,
2025-02-07,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9850000,2610.23,2610.225725,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l10,No same-day balance found; carried forward most recent observed account balance.,
2025-02-08,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9850000,2610.23,2610.225725,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l10,No same-day balance found; carried forward most recent observed account balance.,
2025-02-09,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9850000,2610.23,2610.225725,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l10,No same-day balance found; carried forward most recent observed account balance.,
2025-02-10,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9850000,2610.23,2610.225725,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l10,No same-day balance found; carried forward most recent observed account balance.,
2025-02-11,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9850000,2610.23,2610.225725,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l10,No same-day balance found; carried forward most recent observed account balance.,
2025-02-12,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9850000,2610.23,2610.225725,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l10,No same-day balance found; carried forward most recent observed account balance.,
2025-02-13,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9850000,2610.23,2610.225725,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l10,No same-day balance found; carried forward most recent observed account balance.,
2025-02-14,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9850000,2610.23,2610.225725,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l10,No same-day balance found; carried forward most recent observed account balance.,
2025-02-15,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9850000,2610.23,2610.225725,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l10,No same-day balance found; carried forward most recent observed account balance.,
2025-02-16,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9850000,2610.23,2610.225725,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l10,No same-day balance found; carried forward most recent observed account balance.,
2025-02-17,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9850000,2610.23,2610.225725,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l10,No same-day balance found; carried forward most recent observed account balance.,
2025-02-18,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9850000,2610.23,2610.225725,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l10,No same-day balance found; carried forward most recent observed account balance.,
2025-02-19,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9850000,2610.23,2610.225725,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l10,No same-day balance found; carried forward most recent observed account balance.,
2025-02-20,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9850000,2610.23,2610.225725,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l10,No same-day balance found; carried forward most recent observed account balance.,
2025-02-21,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9850000,2610.23,2610.225725,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l10,No same-day balance found; carried forward most recent observed account balance.,
2025-02-22,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9850000,2610.23,2610.225725,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l10,No same-day balance found; carried forward most recent observed account balance.,
2025-02-23,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9850000,2610.23,2610.225725,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l10,No same-day balance found; carried forward most recent observed account balance.,
2025-02-24,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9850000,2610.23,2610.225725,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l10,No same-day balance found; carried forward most recent observed account balance.,
2025-02-25,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9850000,2610.23,2610.225725,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l10,No same-day balance found; carried forward most recent observed account balance.,
2025-02-26,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9850000,2610.23,2610.225725,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l10,No same-day balance found; carried forward most recent observed account balance.,
2025-02-27,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9850000,2610.23,2610.225725,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l10,No same-day balance found; carried forward most recent observed account balance.,
2025-02-28,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,observed,transaction,high,fictional-orbit-q1.pdf:p1:l11,"Selected last monetary value on line: $9,875,000; ISO/date-first numeric date; Recognized source-bound COP Fecha Descripción Movimiento Tarjeta Débito Abono Saldo table; selected the final currency-marked Saldo value.; Whole-COP comma grouping accepted only in the confirmed, source-bound COP Saldo table context.",
2025-03-01,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l11,No same-day balance found; carried forward most recent observed account balance.,
2025-03-02,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l11,No same-day balance found; carried forward most recent observed account balance.,
2025-03-03,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l11,No same-day balance found; carried forward most recent observed account balance.,
2025-03-04,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l11,No same-day balance found; carried forward most recent observed account balance.,
2025-03-05,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l11,No same-day balance found; carried forward most recent observed account balance.,
2025-03-06,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l11,No same-day balance found; carried forward most recent observed account balance.,
2025-03-07,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l11,No same-day balance found; carried forward most recent observed account balance.,
2025-03-08,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l11,No same-day balance found; carried forward most recent observed account balance.,
2025-03-09,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l11,No same-day balance found; carried forward most recent observed account balance.,
2025-03-10,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l11,No same-day balance found; carried forward most recent observed account balance.,
2025-03-11,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l11,No same-day balance found; carried forward most recent observed account balance.,
2025-03-12,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l11,No same-day balance found; carried forward most recent observed account balance.,
2025-03-13,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l11,No same-day balance found; carried forward most recent observed account balance.,
2025-03-14,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l11,No same-day balance found; carried forward most recent observed account balance.,
2025-03-15,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l11,No same-day balance found; carried forward most recent observed account balance.,
2025-03-16,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l11,No same-day balance found; carried forward most recent observed account balance.,
2025-03-17,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l11,No same-day balance found; carried forward most recent observed account balance.,
2025-03-18,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l11,No same-day balance found; carried forward most recent observed account balance.,
2025-03-19,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l11,No same-day balance found; carried forward most recent observed account balance.,
2025-03-20,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l11,No same-day balance found; carried forward most recent observed account balance.,
2025-03-21,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l11,No same-day balance found; carried forward most recent observed account balance.,
2025-03-22,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l11,No same-day balance found; carried forward most recent observed account balance.,
2025-03-23,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l11,No same-day balance found; carried forward most recent observed account balance.,
2025-03-24,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l11,No same-day balance found; carried forward most recent observed account balance.,
2025-03-25,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l11,No same-day balance found; carried forward most recent observed account balance.,
2025-03-26,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l11,No same-day balance found; carried forward most recent observed account balance.,
2025-03-27,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l11,No same-day balance found; carried forward most recent observed account balance.,
2025-03-28,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l11,No same-day balance found; carried forward most recent observed account balance.,
2025-03-29,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l11,No same-day balance found; carried forward most recent observed account balance.,
2025-03-30,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9875000,2616.85,2616.850663,carried-forward,carried-forward,medium,fictional-orbit-q1.pdf:p1:l11,No same-day balance found; carried forward most recent observed account balance.,
2025-03-31,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9900000,2623.48,2623.475602,observed,transaction,high,fictional-orbit-q1.pdf:p1:l12,"Selected last monetary value on line: $9,900,000; ISO/date-first numeric date; Recognized source-bound COP Fecha Descripción Movimiento Tarjeta Débito Abono Saldo table; selected the final currency-marked Saldo value.; Whole-COP comma grouping accepted only in the confirmed, source-bound COP Saldo table context.",
2025-04-01,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9950000,2636.73,2636.725478,observed,transaction,high,fictional-orbit-q2.pdf:p1:l8,"Selected last monetary value on line: $9,950,000; ISO/date-first numeric date; Recognized source-bound COP Fecha Descripción Movimiento Tarjeta Débito Abono Saldo table; selected the final currency-marked Saldo value.; Whole-COP comma grouping accepted only in the confirmed, source-bound COP Saldo table context.",
2025-04-02,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9950000,2636.73,2636.725478,carried-forward,carried-forward,medium,fictional-orbit-q2.pdf:p1:l8,No same-day balance found; carried forward most recent observed account balance.,
2025-04-03,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9950000,2636.73,2636.725478,carried-forward,carried-forward,medium,fictional-orbit-q2.pdf:p1:l8,No same-day balance found; carried forward most recent observed account balance.,
2025-04-04,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9950000,2636.73,2636.725478,carried-forward,carried-forward,medium,fictional-orbit-q2.pdf:p1:l8,No same-day balance found; carried forward most recent observed account balance.,
2025-04-05,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9950000,2636.73,2636.725478,carried-forward,carried-forward,medium,fictional-orbit-q2.pdf:p1:l8,No same-day balance found; carried forward most recent observed account balance.,
2025-04-06,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9950000,2636.73,2636.725478,carried-forward,carried-forward,medium,fictional-orbit-q2.pdf:p1:l8,No same-day balance found; carried forward most recent observed account balance.,
2025-04-07,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9950000,2636.73,2636.725478,carried-forward,carried-forward,medium,fictional-orbit-q2.pdf:p1:l8,No same-day balance found; carried forward most recent observed account balance.,
2025-04-08,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9950000,2636.73,2636.725478,carried-forward,carried-forward,medium,fictional-orbit-q2.pdf:p1:l8,No same-day balance found; carried forward most recent observed account balance.,
2025-04-09,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9950000,2636.73,2636.725478,carried-forward,carried-forward,medium,fictional-orbit-q2.pdf:p1:l8,No same-day balance found; carried forward most recent observed account balance.,
2025-04-10,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9950000,2636.73,2636.725478,carried-forward,carried-forward,medium,fictional-orbit-q2.pdf:p1:l8,No same-day balance found; carried forward most recent observed account balance.,
2025-04-11,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9950000,2636.73,2636.725478,carried-forward,carried-forward,medium,fictional-orbit-q2.pdf:p1:l8,No same-day balance found; carried forward most recent observed account balance.,
2025-04-12,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9950000,2636.73,2636.725478,carried-forward,carried-forward,medium,fictional-orbit-q2.pdf:p1:l8,No same-day balance found; carried forward most recent observed account balance.,
2025-04-13,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9950000,2636.73,2636.725478,carried-forward,carried-forward,medium,fictional-orbit-q2.pdf:p1:l8,No same-day balance found; carried forward most recent observed account balance.,
2025-04-14,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9950000,2636.73,2636.725478,carried-forward,carried-forward,medium,fictional-orbit-q2.pdf:p1:l8,No same-day balance found; carried forward most recent observed account balance.,
2025-04-15,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9950000,2636.73,2636.725478,carried-forward,carried-forward,medium,fictional-orbit-q2.pdf:p1:l8,No same-day balance found; carried forward most recent observed account balance.,
2025-04-16,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9950000,2636.73,2636.725478,carried-forward,carried-forward,medium,fictional-orbit-q2.pdf:p1:l8,No same-day balance found; carried forward most recent observed account balance.,
2025-04-17,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9950000,2636.73,2636.725478,carried-forward,carried-forward,medium,fictional-orbit-q2.pdf:p1:l8,No same-day balance found; carried forward most recent observed account balance.,
2025-04-18,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9950000,2636.73,2636.725478,carried-forward,carried-forward,medium,fictional-orbit-q2.pdf:p1:l8,No same-day balance found; carried forward most recent observed account balance.,
2025-04-19,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9950000,2636.73,2636.725478,carried-forward,carried-forward,medium,fictional-orbit-q2.pdf:p1:l8,No same-day balance found; carried forward most recent observed account balance.,
2025-04-20,synthetic-demo-account-0042,Fictional Orbit Bank - Synthetic Demo Only,COP,9950000,2636.73,2636.725478,carried-forward,carried-forward,medium,fictional-orbit-q2.pdf:p1:l8,No same-day balance found; carried forward most recent observed account balance.,
